,ID,RA,Dec,file
0,769081,149.78140825717145,2.153457012979584,hst_9822_6j_acs_wfc_f814w_j8pu6j_drc.fits.gz
1,1325952,150.15452517853933,2.679168414691002,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
2,940968,150.10748475529118,2.3027008628336683,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
3,1339492,150.13300265991575,2.6898010344333816,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
4,942448,150.10122499736426,2.3109115777658764,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
5,1359219,150.1265878899636,2.7080607135993358,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
6,1223014,150.19957587352792,2.575561238862406,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
7,1341447,150.15512288717386,2.6960608456159734,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
8,1092322,150.5346504762384,2.4500683171237614,hst_9822_0n_acs_wfc_f814w_j8pu0n_drc.fits.gz
9,1358403,150.12638894804172,2.7122309545934478,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
10,1205299,150.18970487256328,2.5610278059713902,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
11,1126512,150.53092950820198,2.4854451764058845,hst_9822_0n_acs_wfc_f814w_j8pu0n_drc.fits.gz
12,1205344,150.19074034224855,2.562255686457731,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
13,1103846,150.56054153471823,2.464679583919545,hst_9822_0n_acs_wfc_f814w_j8pu0n_drc.fits.gz
14,1073169,150.53531295342543,2.434948221611533,hst_9822_0n_acs_wfc_f814w_j8pu0n_drc.fits.gz
15,758791,149.78187020496242,2.1390789733472984,hst_9822_6j_acs_wfc_f814w_j8pu6j_drc.fits.gz
16,927106,150.09556703141908,2.299346783758931,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
