Karmn_1a,SpTnum_1,M_Msol,eM_Msol,Karmn_1,d_pc_1,ed_pc_1,L_Lsol_1,eL_Lsol,F_bol_E-13_ergcm-2s-1,F_x/F_bol,L_x_E28_ergs-1,eL_x_E28_ergs-1,SpTnum_2,SKG,Ref14,SKG_lit,vsini_kms-1,evsini_kms-1,P_d,eP_d,g_mag_1,eg_mag_1,GG_mag,eGG_mag,RP_mag,eRP_mag,L_x/L_Lsol,Karmn_2,Name,B_mag,eB_mag,Ref25,g_mag_2,eg_mag_2,V_mag,eV_mag,Ref29
J11511+352,1.5,0.446,0.0121,J11511+352,8.765,0.001,0.033,0.0,138044.0605156872,3.4184736706833074E-5,0.43386583898483677,0.09405483513996345,1.5,,,,2.0,,22.8,1.0,10.527,0.01,8.854,0.0028,7.8048,0.0039,3.4184736706833074E-5,J11511+352,BD+36 2219,11.302,0.01,UCAC4,10.527,0.01,9.802,0.01,UCAC4
J11519+075,2.5,,,J11519+075,50.748,0.072,0.0,0.0,0.0,Infinity,61.6841227089916,6.879133069245162,2.5,,,,,,2.29,,13.11,0.05,11.4083,0.0036,10.3209,0.007,Infinity,J11519+075,RX J1151.9+0731,13.818,0.04,UCAC4,13.11,0.05,12.422,0.05,UCAC4
J12023+285,2.5,,,J12023+285,17.506,0.164,0.0,0.0,0.0,Infinity,2.6446669297524257,0.4195672061131499,2.5,,,,,,,,13.766,0.03,11.781,0.0029,10.6117,0.0038,Infinity,J12023+285,GJ 455,14.704,0.05,UCAC4,13.766,0.03,12.92,0.07,UCAC4
J12057+784,2.5,0.4614,0.0186,J12057+784,21.176,0.018,0.025,0.0,17916.77323014437,8.779482410242896E-5,0.8441472463236283,0.342381416711984,2.5,,,,,,,,12.927,0.04,11.1488,0.0028,10.0416,0.0039,8.779482410242894E-5,J12057+784,LSPM J1205+7825,13.661,0.07,UCAC4,12.927,0.04,12.114,0.05,UCAC4
J12063-132,3.5,,,J12063-132,30.442,0.612,0.0,0.0,0.0,Infinity,12.368036027346845,1.8498819127464412,3.5,,,,,,,,13.441,0.15,11.6442,0.003,10.3338,0.004,Infinity,J12063-132,StM 164,14.295,0.16,UCAC4,13.441,0.15,12.785,0.04,UCAC4
J12088+303,2.5,0.4865,0.0189,J12088+303,28.291,0.016,0.032,0.001,12848.755148011383,3.000290669925428E-4,3.6925179086758035,0.9865871132229929,2.5,UMa,Karmn,,,,,,13.198,0.02,11.4806,0.0029,10.3968,0.0041,3.0002906699254275E-4,J12088+303,1RXS J120847.7+302120,13.952,0.01,UCAC4,13.198,0.02,12.429,0.03,UCAC4
J12104-131,4.5,0.3937,0.0173,J12104-131,21.991,0.016,0.013,0.0,8638.952730369167,0.001063786302253628,5.3187188637455005,0.9213711488883745,4.5,,,,,,,,14.57,0.02,12.2979,0.003,11.0406,0.0043,0.0010637863022536283,J12104-131,LP 734-034,15.533,0.06,UCAC4,14.57,0.02,13.801,0.02,UCAC4
J12121+488,2.5,,,J12121+488,26.565,0.02,0.0,0.0,0.0,Infinity,6.324775236387946,1.4264315213922227,2.5,,,,,,,,13.599,0.04,11.9564,0.0028,10.8152,0.0038,Infinity,J12121+488,G 122-74A,14.458,0.04,UCAC4,13.599,0.04,12.914,0.03,UCAC4
J12142+006,5.0,,,J12142+006,8.088,0.003,0.0,0.0,0.0,Infinity,0.7618007649540448,0.12463126402989881,5.0,,,,6.1,0.7,1.5835,,14.38,0.01,11.8287,0.0028,10.4906,0.0039,Infinity,J12142+006,GJ 1154,15.398,0.04,UCAC4,14.38,0.01,13.64,0.02,UCAC4
J12156+526,4.0,0.4937,0.0046,J12156+526,25.097,0.098,0.033,0.0,16837.514189893624,0.001141023530939032,14.481642371501719,1.4532899365387182,4.0,UMa,Karmn,,35.3,3.5,0.725453,1.1338399E-4,13.402,0.03,11.3735,0.0029,10.19,0.0042,0.001141023530939032,J12156+526,StKM 2-809,14.252,0.04,UCAC4,13.402,0.03,12.564,0.05,UCAC4
J12169+311,3.5,,,J12169+311,38.487,0.082,0.0,0.0,0.0,Infinity,2.854010757204556,0.6718447767111692,3.5,,,,,,,,14.838,0.07,12.7646,0.0028,11.5573,0.0039,Infinity,J12169+311,Sand 39,15.704,0.06,UCAC4,14.838,0.07,14.144,0.06,UCAC4
J12189+111,5.0,0.14677,0.00885,J12189+111,6.464,0.002,0.002,0.0,15382.784404839156,7.605255362547525E-4,0.5849962702729861,0.07725610605725564,5.0,HS,Karmn,,15.5,1.6,0.49102,3.0E-5,14.653,0.05,11.9261,0.0028,10.5672,0.0039,7.605255362547524E-4,J12189+111,GL Vir,15.678,0.03,UCAC4,14.653,0.05,13.898,0.02,UCAC4
J12191+318,4.0,,,J12191+318,28.411,0.062,0.0,0.0,0.0,Infinity,1.4644476333301557,0.5670387602470254,4.0,,,,,,,,13.026,0.01,11.5574,0.0155,9.9846,0.0062,Infinity,J12191+318,G 148-43,13.843,0.01,UCAC4,13.026,0.01,12.322,0.01,UCAC4
J12198+527,0.0,0.6196,0.0221,J12198+527,28.752,0.012,0.07,0.001,27212.570092546717,1.3743648603632247E-4,3.700065092822806,0.9250162732057015,0.0,LA,Karmn,AB Dor?,3.8,,13.907999992370604,,11.935,0.03,10.4379,0.0028,9.4846,0.0039,1.3743648603632247E-4,J12198+527,StKM 1-1007,12.642,0.03,UCAC4,11.935,0.03,11.12,0.02,UCAC4
J12204+005,0.0,,,J12204+005,17.505,0.023,0.0,0.0,0.0,Infinity,0.7946661758088298,0.29410348211446175,0.0,,,,2.5,,,,10.697,0.01,9.4146,0.0029,8.1798,0.004,Infinity,J12204+005,BD+01 2684,11.425,0.01,UCAC4,10.697,0.01,9.999,0.05,UCAC4
J12214+306W,4.5,,,J12214+306W,11.976,0.012,0.0,0.0,0.0,Infinity,0.46189033514896605,0.1278737658266976,4.5,,,,20.0,,,,15.483,0.01,13.3832,0.0029,12.0197,0.0039,Infinity,J12214+306W,Sand 58,16.573,0.05,UCAC4,15.483,0.01,14.692,0.01,UCAC4
J12228-040,4.5,,,J12228-040,15.8,0.8,0.0,0.0,0.0,Infinity,0.6814610962355447,0.22824914494638537,4.5,,,,,,,,14.791,0.05,13.3726,0.0054,11.5301,0.0039,Infinity,J12228-040,G 13-33,15.595,0.04,UCAC4,14.791,0.05,14.111,0.1,UCAC4
J12269+270,4.5,0.299,0.0148,J12269+270,26.57,0.2,0.008,0.0,3641.7872538146157,7.111892413419806E-4,2.188187161694315,0.6513870340127541,4.5,,,,9.27,1.4,0.733,,15.706,0.01,13.3406,0.0036,12.0396,0.0039,7.111892413419809E-4,J12269+270,CX Com,16.672,0.06,UCAC4,15.706,0.01,15.056,0.01,UCAC4
J12288-106N,2.0,,,J12288-106N,19.415,0.019,0.0,0.0,0.0,Infinity,6.289288809628574,1.8666673676588446,2.0,,,,,,,,11.666,0.02,10.7017,0.0029,9.5991,0.0045,Infinity,J12288-106N,Ross 948 A,12.414,0.04,UCAC4,11.666,0.02,10.96,0.05,UCAC4
J12290+417,3.5,,,J12290+417,23.509,0.043,0.0,0.0,0.0,Infinity,7.506989941371069,0.9319250013584864,3.5,,,,,,13.59,,13.686,0.01,11.6366,0.0028,10.422,0.0039,Infinity,J12290+417,G 123-035,14.605,0.02,UCAC4,13.686,0.01,12.887,0.09,UCAC4
J12294+229,4.0,0.2878,0.0135,J12294+229,22.685,0.015,0.008,0.0,4995.973471822045,0.001775429740687588,5.4626424856091536,0.8973021756474742,4.0,,,,,,5.79010009765625,,14.93,0.01,12.7947,0.0028,11.5603,0.004,0.001775429740687588,J12294+229,LP 377-100,15.915,0.04,UCAC4,14.93,0.01,14.21,0.01,UCAC4
J12324+203,2.5,0.4091,0.0171,J12324+203,22.822,0.016,0.018,0.0,11106.385098475263,8.591454134076894E-4,5.947691611903709,0.8209086344971019,2.5,,,,,,,,13.714,0.05,11.8132,0.0029,10.6414,0.004,8.591454134076897E-4,J12324+203,StKM 1-1021,14.601,0.09,UCAC4,13.714,0.05,13.009,0.04,UCAC4
J12332+090,5.0,,,J12332+090,4.475,0.009,0.0,0.0,0.0,Infinity,0.40506599524371356,0.04016628745008126,5.0,,,,,,,,13.254,0.04,11.2402,0.0032,9.5396,0.0596,Infinity,J12332+090,Wolf  424 A,14.342,0.03,UCAC4,13.254,0.04,12.492,0.02,UCAC4
J12390+470,2.0,,,J12390+470,22.977,0.024,0.0,0.0,0.0,Infinity,5.218139622351534,0.7670204100325477,2.0,,,,,,,,13.004,0.0,11.2084,0.0028,10.0941,0.004,Infinity,J12390+470,G 123-049,13.814,0.03,UCAC4,13.004,0.0,12.207,0.03,UCAC4
J12397+255,4.5,0.2584,0.0128,J12397+255,23.084,0.01,0.006,0.0,3618.568509575596,6.789977889500583E-4,1.5668553114007997,0.49167500202835823,4.5,LA,Karmn,,,,2.3494,,15.576,0.01,13.2581,0.0028,12.0005,0.004,6.789977889500584E-4,J12397+255,LP 377-036,16.485,0.01,UCAC4,15.576,0.01,14.843,0.09,UCAC4
J12417+567,3.5,0.353,0.0153,J12417+567,23.893,0.02,0.014,0.0,7881.2364714259975,0.0018967836344944405,10.21304211681467,1.421723262481752,3.5,UMa,Karmn,,,,2.0487000942230225,,14.165,0.07,12.266,0.0028,11.0639,0.0039,0.0018967836344944403,J12417+567,RX J1241.7+5645,15.016,0.05,UCAC4,14.165,0.07,13.496,0.04,UCAC4
J12428+418,4.0,0.3789,0.0117,J12428+418,14.318,0.006,0.016,0.0,25082.04597792869,5.685740187269653E-4,3.498777247821247,0.35034386990558847,4.0,HS,Karmn,,2.0,,16.2,0.1,13.189,0.01,11.0514,0.0029,9.8352,0.0042,5.685740187269652E-4,J12428+418,G 123-055,14.06,0.04,UCAC4,13.189,0.01,12.417,0.02,UCAC4
J12485+495,3.5,0.5507,0.0228,J12485+495,26.864,0.33,0.032,0.001,14250.046902409558,0.0017362750276737917,21.368685035544917,1.9164624178640903,3.5,UMa,Karmn,,20.9,,0.5896999835968018,,13.317,0.02,11.3488,0.0029,10.1826,0.0039,0.0017362750276737917,J12485+495,RX J1248.5+4933,14.11,0.04,UCAC4,13.317,0.02,12.512,0.03,UCAC4
J12490+661,3.0,,,J12490+661,10.21,0.19,0.0,0.0,0.0,Infinity,2.3187952442822155,0.23328924209300048,3.0,,,,1.65,0.3,,,11.82,0.15,9.844,0.0105,8.517,0.0038,Infinity,J12490+661,DP Dra,12.703,0.11,UCAC4,11.82,0.15,10.838,0.05,UCAC4
J12576+352E,1.5,,,J12576+352E,17.822,0.09,0.0,0.0,0.0,Infinity,24.67741730217036,1.1726534728349032,1.5,,,,8.4,0.3,3.17,,11.542,0.001,9.7722,0.0028,8.758,0.004,Infinity,J12576+352E,BF CVn,12.549,0.99,UCAC4,11.542,0.001,10.694,0.99,UCAC4
J13005+056,4.5,0.19603,0.00995,J13005+056,8.545,0.004,0.004,0.0,17605.304170442912,7.041628018911583E-4,1.0832841058825897,0.18481453871595832,4.5,,,,16.4,1.6,0.600787,7.439778E-5,14.161,0.02,11.7729,0.0028,10.4682,0.0039,7.041628018911584E-4,J13005+056,FN Vir,15.173,0.02,UCAC4,14.161,0.02,13.434,0.03,UCAC4
J13007+123,2.0,,,J13007+123,11.507,0.015,0.0,0.0,0.0,Infinity,20.9084610027594,1.2776811454256838,2.0,,,,9.75,0.3,2.89,,10.499,0.01,8.8991,0.0029,7.8463,0.0043,Infinity,J13007+123,DT Vir,11.233,0.07,UCAC4,10.499,0.01,9.793,0.03,UCAC4
J13095+289,4.0,0.193,0.011,J13095+289,12.838,0.006,0.004,0.0,7799.61043969765,0.0012081373048752728,1.8585985180988078,0.2790954832345756,4.0,LA,Karmn,,48.6,1.1,0.2152000069618225,,14.949,0.01,12.576,0.0028,11.2969,0.0039,0.0012081373048752726,J13095+289,NLTT 33085,15.926,0.04,UCAC4,14.949,0.01,14.078,0.01,UCAC4
J13102+477,5.0,0.15733,0.00848,J13102+477,12.189,0.005,0.003,0.0,6489.223883630007,8.02715425455834E-4,0.926173065941556,0.1984275622484672,5.0,,,,2.0,,28.8,0.8,15.306,0.07,12.8025,0.0028,11.4936,0.004,8.02715425455834E-4,J13102+477,G 177-025,16.307,0.09,UCAC4,15.306,0.07,14.59,0.03,UCAC4
J13168+170,0.5,,,J13168+170,10.995,0.003,0.0,0.0,0.0,Infinity,1.3126319899194319,0.2093440465168614,0.5,,,,,,,,10.445,0.083,8.8698,0.0028,7.8666,0.0039,Infinity,J13168+170,HD 115404B,9.017,0.01,UCAC4,10.445,0.083,8.436,0.01,UCAC4
J13197+477,0.5,,,J13197+477,9.092,0.069,0.0,0.0,0.0,Infinity,0.2844188139092532,0.059060185293061895,0.5,,,,,,,,9.211,0.133,8.0396,0.003,6.6463,0.0041,Infinity,J13197+477,BD+48 2108,,,,9.211,0.133,,,
J13235+292,0.0,,,J13235+292,18.113,0.008,0.0,0.0,0.0,Infinity,0.7169406419344483,0.24539315843027606,0.0,,,,,,,,9.929,0.01,8.8447,0.0028,7.7982,0.0288,Infinity,J13235+292,HD 116495A,10.227,0.01,UCAC4,9.929,0.01,9.081,0.01,UCAC4
J13254+377,0.0,,,J13254+377,33.748,0.025,0.0,0.0,0.0,Infinity,3.883203693093803,0.9650081619735342,0.0,,,,,,,,11.899,0.01,10.5013,0.0028,9.5699,0.0038,Infinity,J13254+377,BD+38  2445,12.585,0.01,UCAC4,11.899,0.01,11.332,0.01,UCAC4
J13260+275,3.0,,,J13260+275,45.73,0.146,0.0,0.0,0.0,Infinity,7.983525228643264,1.7718920986685034,3.0,,,,,,,,13.826,0.01,12.4098,0.0028,11.0227,0.019,Infinity,J13260+275,PM J13260+2735A,14.677,0.01,UCAC4,13.826,0.01,13.072,0.01,UCAC4
J13294-143,3.5,0.43,0.018,J13294-143,24.126,0.021,0.02,0.0,11042.490175495142,6.471366326687124E-4,4.977774867225797,1.1709543283693782,3.5,UMa,Karmn,,,,6.5696001052856445,,13.843,0.05,11.8592,0.0028,10.6746,0.0041,6.471366326687128E-4,J13294-143,1RXS J132923.9-142206,14.65,0.07,UCAC4,13.843,0.05,13.132,0.04,UCAC4
J13299+102,0.5,0.4809,0.0122,J13299+102,7.628,0.002,0.041,0.0,226448.88545965662,2.0167906337854792E-5,0.3180196566633292,0.0795919589823599,0.5,,,,2.0,,30.0,0.9,9.913,0.001,8.2053,0.0028,7.1788,0.0038,2.0167906337854795E-5,J13299+102,BD+11 2576,10.547,0.11,UCAC4,9.913,0.001,9.36,0.17,UCAC4
J13317+292,4.0,,,J13317+292,18.286,0.111,0.0,0.0,0.0,Infinity,10.720418588151391,0.805932125582739,4.0,,,,76.0,0.7,0.2683,,12.73,0.02,10.6277,0.0029,9.3622,0.0039,Infinity,J13317+292,DG CVn,13.625,0.03,UCAC4,12.73,0.02,11.987,0.04,UCAC4
J13319+311,0.0,,,J13319+311,32.01,2.68,0.0,0.0,0.0,Infinity,2.068654735907018,0.7197986541427888,0.0,,,,,,,,11.161,0.01,10.3442,0.0037,8.7632,0.0039,Infinity,J13319+311,BD+31 2500,11.847,0.05,UCAC4,11.161,0.01,10.382,0.01,UCAC4
J13326+309,4.5,,,J13326+309,22.43,0.216,0.0,0.0,0.0,Infinity,1.5973402865060211,0.353425829951754,4.5,,,,30.0,,,,15.016,0.03,12.7579,0.003,11.4455,0.0038,Infinity,J13326+309,LP 323-169,16.017,0.11,UCAC4,15.016,0.03,14.277,0.03,UCAC4
J13327+168,2.5,,,J13327+168,16.64,0.01,0.0,0.0,0.0,Infinity,2.067393773354752,0.4374034232534731,2.5,,,,,,,,12.139,0.07,10.8594,0.0028,9.701,0.0047,Infinity,J13327+168,VW Com,12.98,0.07,UCAC4,12.139,0.07,11.423,0.05,UCAC4
J13343+046,0.0,0.6973,0.0267,J13343+046,20.422,0.011,0.097,0.004,74745.11742402075,2.5607024248478544E-5,0.9553007961952648,0.4037817893604779,0.0,,,,4.0,,,,10.788,0.1,9.2718,0.0028,8.3474,0.0038,2.560702424847855E-5,J13343+046,BD+05 2767,11.35,0.05,UCAC4,10.788,0.1,9.958,0.04,UCAC4
J13378+481,0.0,,,J13378+481,21.182,0.006,0.0,0.0,0.0,Infinity,1.5619934963440623,0.3672752164851795,0.0,,,,8.2,,,,10.634,0.09,9.4793,0.0028,8.434,0.0179,Infinity,J13378+481,BD+48  2138A,10.98,0.06,UCAC4,10.634,0.09,9.732,0.04,UCAC4
J13386-115,4.5,0.2829,0.0138,J13386-115,19.571,0.015,0.007,0.0,5873.266673107136,6.304838984444668E-4,1.6973888037849676,0.47396706911637076,4.5,UMa,Karmn,,,,1.020400047302246,,14.996,0.06,12.7491,0.0028,11.483,0.0039,6.304838984444668E-4,J13386-115,2MASS J13384087-1132077,15.882,0.09,UCAC4,14.996,0.06,14.265,0.02,UCAC4
J13417+582,3.5,,,J13417+582,21.621,0.03,0.0,0.0,0.0,Infinity,3.2721620389590145,0.5471318923330193,3.5,,,,4.3,,,,13.391,0.01,11.8163,0.0029,10.2986,0.0054,Infinity,J13417+582,StM 187,14.356,0.01,UCAC4,13.391,0.01,12.545,0.01,UCAC4
J13421-160,4.0,,,J13421-160,20.219,0.03,0.0,0.0,0.0,Infinity,2.5704611223804363,0.5743664472877641,4.0,,,,,,,,14.188,0.04,12.3619,0.003,10.7408,0.0041,Infinity,J13421-160,LP 798-025,15.091,0.04,UCAC4,14.188,0.04,13.469,0.07,UCAC4
J13477+214,0.0,,,J13477+214,29.923,0.018,0.0,0.0,0.0,Infinity,14.31803351206212,1.9566478017805609,0.0,,,,,,,,11.931,0.08,10.5108,0.0028,9.4692,0.0066,Infinity,J13477+214,BD+22  2632A,12.601,0.07,UCAC4,11.931,0.08,11.111,0.04,UCAC4
J13488+041,4.0,0.2213,0.0118,J13488+041,16.266,0.011,0.004,0.0,4858.543538354146,8.36052978789826E-4,1.2861839636607253,0.326137250544219,4.0,,,,20.0,,,,15.163,0.04,12.8408,0.0028,11.5697,0.0038,8.360529787898258E-4,J13488+041,Wolf 1494,16.102,0.08,UCAC4,15.163,0.04,14.401,0.02,UCAC4
J13518+127,2.0,0.4674,0.0178,J13518+127,26.662,0.022,0.033,0.0,14918.876909532522,6.521268424258075E-4,8.276663413851903,1.4615384994454186,2.0,UMa,Karmn,,20.0,,4.88640022277832,,12.959,0.01,11.2598,0.0028,10.1924,0.0039,6.521268424258077E-4,J13518+127,RX J1351.8+1247,13.751,0.01,APASS9,12.959,0.01,12.255,0.065,APASS9
J13526+144,2.0,,,J13526+144,24.592,0.015,0.0,0.0,0.0,Infinity,1.792007969511433,0.7519774995063043,2.0,,,,3.0,,,,12.273,0.001,10.79,0.0028,9.5512,0.0074,Infinity,J13526+144,G 150-046,13.144,0.045,APASS9,12.273,0.001,11.651,0.016,APASS9
J13536+776,4.0,0.295,0.019,J13536+776,13.248,0.004,0.009,0.0,16479.707729348593,8.461921730559377E-4,2.9290094617284064,0.3064485387624616,4.0,UMa,Karmn,,8.9,1.5,1.231293,4.7672E-6,13.756,0.14,11.5401,0.0028,10.3202,0.004,8.461921730559377E-4,J13536+776,RX J1353.6+7737,14.609,0.19,UCAC4,13.756,0.14,12.859,0.04,UCAC4
J13537+521,3.5,,,J13537+521,47.248,1.066,0.0,0.0,0.0,Infinity,7.873152005157395,1.7712587833431093,3.5,,,,,,,,14.02,0.09,12.7977,0.0035,10.9072,0.0074,Infinity,J13537+521,PM J13537+5210A,14.845,0.07,UCAC4,14.02,0.09,13.209,0.06,UCAC4
J13591-198,4.0,0.26174,0.00963,J13591-198,10.814,0.005,0.007,0.0,19236.806446486615,7.825623209702416E-4,2.1068143455464696,0.2717838150864506,4.0,IC,Karmn,,3.2,1.5,3.32478,0.0028780529,13.636,0.04,11.3964,0.0028,10.1307,0.004,7.825623209702415E-4,J13591-198,LP 799-007,14.558,0.01,UCAC4,13.636,0.04,12.938,0.05,UCAC4
J14023+136,0.5,0.593,0.0222,J14023+136,20.359,0.008,0.064,0.002,49622.06171679919,3.9599322668073756E-5,0.974713614177445,0.39186959950901146,0.5,UMa,Karmn,,4.0,,18.299999237060547,0.1,11.381,0.09,9.8402,0.0028,8.8396,0.0038,3.9599322668073756E-5,J14023+136,MCC 150,12.075,0.03,UCAC4,11.381,0.09,10.651,0.05,UCAC4
J14025+463S,0.5,,,J14025+463S,11.16,0.004,0.0,0.0,0.0,Infinity,0.8281180479027369,0.12147519416837414,0.5,,,,3.6,0.3,,,10.286,0.01,9.0279,0.0028,8.0057,0.0038,Infinity,J14025+463S,BD+47 2112A,10.738,0.01,UCAC4,10.286,0.01,9.166,0.01,UCAC4
J14041+207,1.0,,,J14041+207,40.299,0.025,0.0,0.0,0.0,Infinity,6.7654107331898325,1.7316808020315761,1.0,,,,,,,,12.435,0.03,11.6595,0.0043,9.8568,0.0053,Infinity,J14041+207,StKM 1-1119,13.147,0.01,UCAC4,12.435,0.03,11.61,0.04,UCAC4
J14130-120,4.5,,,J14130-120,31.341,0.035,0.0,0.0,0.0,Infinity,18.256887041838592,2.334568043423394,4.5,,,,,,,,14.553,0.03,12.2606,0.0029,10.9735,0.0043,Infinity,J14130-120,GQ Vir,15.471,0.06,UCAC4,14.553,0.03,13.889,0.05,UCAC4
J14142-153,3.5,0.394,0.017,J14142-153,28.697,0.032,0.015,0.0,5853.638540430496,0.00979937505801309,56.53259344607555,3.701691453630075,3.5,LA,Karmn,,,,,,14.714,0.01,12.6395,0.0032,11.4064,0.0054,0.00979937505801309,J14142-153,LTT 5581,15.587,0.06,UCAC4,14.714,0.01,13.938,0.05,UCAC4
J14170+317,4.0,,,J14170+317,16.7,0.6,0.0,0.0,0.0,Infinity,2.6700819203810404,0.34577561314552463,4.0,,,,,,,,13.771,0.01,11.99,0.0141,10.3174,0.0039,Infinity,J14170+317,LP 325-015,14.727,0.02,UCAC4,13.771,0.01,13.108,0.01,UCAC4
J14173+454,5.0,0.2724,0.0101,J14173+454,18.991,0.043,0.008,0.0,7128.563760378346,8.854518259209675E-4,2.724358307393702,0.316805946724614,5.0,,,,15.9,1.6,0.365745,3.3212025E-6,14.919,0.01,12.6017,0.0028,11.3207,0.0038,8.854518259209673E-4,J14173+454,RX J1417.3+4525,15.727,0.04,UCAC4,14.919,0.01,14.208,0.01,UCAC4
J14175+025,3.0,0.4707,0.0193,J14175+025,30.109,0.038,0.026,0.001,9216.974329528555,4.722808167194534E-4,4.722619352306707,1.020901578451332,3.0,,,,,,,,13.834,0.01,11.921,0.0028,10.7717,0.0041,4.7228081671945346E-4,J14175+025,RX J1417.5+0233,14.65,0.02,UCAC4,13.834,0.01,13.054,0.04,UCAC4
J14194+029,5.0,0.2752,0.0138,J14194+029,20.922,0.013,0.006,0.0,4405.06665883163,3.4097099784845795E-4,0.7868246814744521,0.3027860724482636,5.0,LA,Karmn,,,,0.5905,,15.713,0.03,13.2344,0.0029,11.9245,0.0045,3.409709978484579E-4,J14194+029,NLTT 36959,16.52,0.13,UCAC4,15.713,0.03,15.018,0.07,UCAC4
J14200+390,2.5,0.7726,0.0285,J14200+390,36.002,0.03,0.069,0.001,17108.168302689945,8.380792171241383E-4,22.240442859359693,2.4089417247823834,2.5,,,,109.0,,0.3693000078201294,,13.113,0.02,11.2761,0.003,10.1479,0.0044,8.380792171241382E-4,J14200+390,IZ Boo,13.91,0.03,UCAC4,13.113,0.02,12.365,0.01,UCAC4
J14257+236E,0.5,0.5976,0.0133,J14257+236E,16.34,0.005,0.075,0.0,90274.44579485961,3.541423044532192E-5,1.021523517787007,0.24411759762568938,0.5,,,,2.0,,17.6,0.5,11.072,0.001,9.2048,0.0028,8.2115,0.0038,3.541423044532193E-5,J14257+236E,BD+24 2733B,11.376,0.063,APASS9,11.072,0.001,9.921,0.02,UCAC4
J14259+142,0.0,,,J14259+142,157.92,0.465,1.882,0.048,24252.304604008637,0.003123661769099665,2260.9600787941577,136.7212925075939,0.0,bet Pic,Schl12a,bet Pic,,,4.3429,3.0E-4,11.837,0.001,10.9155,0.0086,9.9749,0.0219,0.003123661769099664,J14259+142,StKM 1-1155,12.636,0.11,UCAC4,11.837,0.001,11.362,0.1,UCAC4
J14279-003N,4.5,0.32,0.015,J14279-003N,17.534,0.01,0.008,0.0,8362.490671413387,0.0013052331405480932,4.015941517585351,0.6372524696250826,4.5,,,,,,,,15.103,0.004,12.5022,0.003,11.215,0.0041,0.0013052331405480934,J14279-003N,GJ 1183B,,,,15.103,0.004,,,
J14294+155,2.0,0.5004,0.0125,J14294+155,14.22,0.004,0.04,0.0,63572.37481883844,2.255696785506668E-5,0.34701638572592497,0.14834102771792324,2.0,,,,2.0,,43.5,1.5,11.345,0.03,9.7329,0.0028,8.6512,0.0038,2.255696785506668E-5,J14294+155,Ross 130,12.13,0.02,UCAC4,11.345,0.03,10.72,0.06,UCAC4
J14312+754,4.0,0.1779,0.0108,J14312+754,14.485,0.004,0.003,0.0,4595.0680012176945,3.059802418043044E-4,0.3530400060625516,0.06051396812672479,4.0,,,,14.3,0.4,0.6312999725341797,,15.008,0.11,12.7673,0.0028,11.5234,0.0039,3.0598024180430447E-4,J14312+754,2MASS J14311348+7526423,15.95,0.11,UCAC4,15.008,0.11,14.064,0.04,UCAC4
J14321+160,4.0,0.2518,0.0125,J14321+160,15.777,0.007,0.006,0.0,7746.580572467252,8.392089731340924E-4,1.9365586432374648,0.33780301752823655,4.0,UMa,Karmn,,14.1,1.1,0.765,,14.304,0.06,12.2406,0.0029,11.0038,0.0043,8.392089731340923E-4,J14321+160,LP 440-038,15.249,0.02,UCAC4,14.304,0.06,13.633,0.05,UCAC4
J14368+583,2.5,,,J14368+583,18.456,0.012,0.0,0.0,0.0,Infinity,3.354876687325468,0.3738058419191519,2.5,,,,,,,,12.576,0.1,10.7111,0.0028,9.578,0.0038,Infinity,J14368+583,LP 098-132,13.379,0.08,UCAC4,12.576,0.1,11.769,0.04,UCAC4
J14376+677,1.5,0.7205,0.0294,J14376+677,39.414,0.098,0.075,0.003,15515.575417028773,5.2914568612890065E-5,1.5263207922893507,0.6339529703711577,1.5,HS,Karmn,,,,,,12.836,0.06,11.4576,0.0028,10.2037,0.0044,5.2914568612890065E-5,J14376+677,G 239-022,13.572,0.1,UCAC4,12.836,0.06,11.962,0.14,UCAC4
J14423+660,2.0,,,J14423+660,10.931,0.002,0.0,0.0,0.0,Infinity,0.2799845465159019,0.060486960533613125,2.0,,,,2.5,,,,11.606,0.04,9.854,0.0028,8.7614,0.0038,Infinity,J14423+660,G 239-025,12.409,0.05,UCAC4,11.606,0.04,10.708,0.04,UCAC4
J14472+570,4.0,,,J14472+570,22.0,1.0,0.0,0.0,0.0,Infinity,6.706262156725904,0.7402490038245008,4.0,UMa,Karmn,,20.0,,,,14.912,0.04,13.4136,0.003,11.6253,0.004,Infinity,J14472+570,RX J1447.2+5701,15.813,0.04,UCAC4,14.912,0.04,14.181,0.04,UCAC4
J14511+311,4.0,,,J14511+311,13.048,0.007,0.0,0.0,0.0,Infinity,2.0778038240268764,0.24592167704703935,4.0,,,,,,,,13.425,0.01,11.3338,0.0028,10.1085,0.0039,Infinity,J14511+311,LP 326-038,14.242,0.01,UCAC4,13.425,0.01,12.519,0.01,UCAC4
J14538+235,3.5,,,J14538+235,11.428,0.008,0.0,0.0,0.0,Infinity,0.4926384631723822,0.12378479278457219,3.5,,,,4.0,,,,12.416,0.01,10.7278,0.0028,9.1788,0.005,Infinity,J14538+235,Ross 52A,13.359,0.01,UCAC4,12.416,0.01,11.708,0.01,UCAC4
J14544+161,1.0,,,J14544+161,9.948,0.002,0.0,0.0,0.0,Infinity,3.9110167433962446,0.2914639014662562,1.0,,,,2.5,,13.68,,10.948,0.16,9.1234,0.0028,8.0342,0.0041,Infinity,J14544+161,CE Boo,11.602,0.01,UCAC4,10.948,0.16,10.067,0.02,UCAC4
