Karmn_1a,SpTnum_1,M_Msol,eM_Msol,Karmn_1,d_pc_1,ed_pc_1,L_Lsol_1,eL_Lsol,F_bol_E-13_ergcm-2s-1,F_x/F_bol,L_x_E28_ergs-1,eL_x_E28_ergs-1,SpTnum_2,SKG,Ref14,SKG_lit,vsini_kms-1,evsini_kms-1,P_d,eP_d,g_mag_1,eg_mag_1,GG_mag,eGG_mag,RP_mag,eRP_mag,L_x/L_Lsol,Karmn_2,Name,B_mag,eB_mag,Ref25,g_mag_2,eg_mag_2,V_mag,eV_mag,Ref29
J07140+507,0.5,,,J07140+507,28.448,0.016,0.0,0.0,0.0,Infinity,2.4416191594650924,0.8019281077257626,0.5,,,,,,,,12.246,0.02,10.7612,0.0028,9.7667,0.0039,Infinity,J07140+507,G 193-39,12.967,0.03,UCAC4,12.246,0.02,11.515,0.04,UCAC4
J07163+331,4.0,0.199,0.0112,J07163+331,15.273,0.007,0.004,0.0,5510.8550066511225,9.357894661764469E-4,1.439618583144056,0.24845074700258027,4.0,LA,Karmn,,,,,,15.305,0.05,12.9205,0.0029,11.6359,0.0041,9.357894661764468E-4,J07163+331,GJ 1096,16.263,0.03,UCAC4,15.305,0.05,14.54,0.14,UCAC4
J07172-050,3.5,0.2105,0.0114,J07172-050,11.133,0.004,0.005,0.0,12964.42352117837,6.243239315229663E-4,1.200574893483724,0.20662229589977557,3.5,,,,27.9,1.6,0.41,,13.928,0.02,11.8617,0.0029,10.618,0.0039,6.243239315229665E-4,J07172-050,2MASS J07171706-0501031,14.716,0.05,UCAC4,13.928,0.02,13.224,0.02,UCAC4
J07195+328,0.0,0.6482,0.0231,J07195+328,18.225,0.01,0.076,0.001,73533.65428231673,2.226191504680482E-5,0.6507068511285172,0.28739221563281603,0.0,,,,3.0,,,,10.819,0.01,9.3605,0.0028,8.4022,0.0038,2.2261915046804817E-5,J07195+328,BD+33 1505,11.509,0.05,UCAC4,10.819,0.01,10.034,0.07,UCAC4
J07232+460,0.5,0.5754,0.0214,J07232+460,16.977,0.006,0.054,0.001,60211.51756352916,1.9730443805986413E-5,0.40976975976928964,0.18074019880051792,0.5,,,,6.0,,,,11.278,0.03,9.6918,0.0028,8.6649,0.0038,1.9730443805986413E-5,J07232+460,G 107-065,11.995,0.08,UCAC4,11.278,0.03,10.501,0.07,UCAC4
J07295+359,1.5,,,J07295+359,42.695,0.367,0.0,0.0,0.0,Infinity,35.25307452108239,3.73909466763592,1.5,,,,15.0,2.0,,,12.625,0.03,11.054,0.0031,10.0218,0.005,Infinity,J07295+359,1RXS J072931.4+355607,13.345,0.01,UCAC4,12.625,0.03,11.876,0.03,UCAC4
J07310+460,4.0,0.6927,0.0275,J07310+460,55.125,0.157,0.044,0.001,4653.322279982148,0.002457384150848148,41.58483732898093,5.633136133795508,4.0,HS,Karmn,,14.9,0.7,1.9681999683380127,,14.984,0.01,12.8963,0.0028,11.6659,0.0039,0.002457384150848148,J07310+460,1RXS J073101.9+460030,15.899,0.04,UCAC4,14.984,0.01,14.306,0.09,UCAC4
J07319+362N,3.5,0.4126,0.0054,J07319+362N,11.99,0.004,0.019,0.0,42473.97432136542,0.001768070949845038,12.920001243453203,0.6100686363516477,3.5,Cas,Karmn,Cas,2.0,,16.4,0.3,12.464,0.02,10.5056,0.0035,9.2853,0.0062,0.001768070949845038,J07319+362N,V* BL Lyn,13.317,0.06,UCAC4,12.464,0.02,11.738,0.03,UCAC4
J07346+318,1.0,,,J07346+318,15.08,0.005,0.0,0.0,0.0,Infinity,75.88777456327638,1.8544128724506734,1.0,,,,36.4,2.0,,,10.387,0.08,8.2961,0.0031,7.3245,0.0049,Infinity,J07346+318,YY Gem,10.377,0.09,UCAC4,10.387,0.08,9.267,0.25,UCAC4
J07349+147,3.0,,,J07349+147,16.295,0.023,0.0,0.0,0.0,Infinity,9.802511421622556,1.2456511298246975,3.0,,,,4.8,,,,11.929,0.05,10.4403,0.003,8.993,0.0215,Infinity,J07349+147,TYC 777-141-1,12.689,0.06,UCAC4,11.929,0.05,11.152,0.04,UCAC4
